Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-14207.14	-14867.11	659.9661	1.791494	1.915115
6	-12863.8	-13522.02	658.2109	2.565247	2.548756
12	-12905.46	-13563.44	657.9813	2.522	2.717169
18	-13031.25	-13690.34	659.0896	2.522	2.013035
24	-12775.74	-13434.58	658.8449	2.766731	2.013035
30	-12777.75	-13435.25	657.4968	2.033943	3.30071
36	-12461.69	-13116.2	654.5163	2.717732	4.616905
42	-12831.49	-13491.19	659.7049	2.892586	1.302405
48	-12834.48	-13491.97	657.4894	2.837248	2.824931
54	-12821.6	-13479.69	658.0897	2.645375	2.574311
60	-13565	-14224.91	659.9092	3.320279	0.4172984
66	-13219.8	-13876.8	657.0057	2.190133	3.497096
72	-13731.85	-14391.82	659.9701	2.218316	1.614295
78	-13228.72	-13888.91	660.1921	2.838683	0.902209
84	-12622.58	-13279.91	657.3258	5.520119	1.088417
90	-13050.29	-13703.69	653.3998	8.844581	1.573517
96	-12828.76	-13488.45	659.6895	2.554902	1.573517
102	-12613.19	-13271.27	658.0807	3.837441	1.80531
108	-12867.82	-13525.76	657.938	5.305021	0.5312702
114	-12986.83	-13644.87	658.0496	5.189088	0.5577333
120	-13152.49	-13805.57	653.0723	9.032337	1.674476
126	-13129.64	-13787.45	657.8057	5.433702	0.449217
132	-12991.07	-13649.76	658.6953	3.536567	1.582667
138	-13562.88	-14221.77	658.8866	2.271501	2.308229
144	-14092.86	-14752.18	659.323	2.053568	2.167545
150	-13532.73	-14192.15	659.4198	2.430863	1.85178
156	-13028.63	-13687.41	658.7828	3.820889	1.297386
162	-12973.51	-13629.79	656.2804	4.69537	2.423801
168	-12987.21	-13643.79	656.577	4.39877	2.423801
174	-13083.08	-13738.38	655.2971	3.115136	3.949761
180	-13225.64	-13880.86	655.2227	7.849331	0.8542597
186	-13002.76	-13661.63	658.8653	3.564344	1.434707
192	-13214.75	-13874.09	659.3333	3.91159	0.504956
198	-13107.76	-13766.77	659.0032	4.205109	0.6476911
204	-13131.25	-13790.57	659.3199	3.586908	1.03082
210	-13428.97	-14088.86	659.8918	2.912269	1.126646
216	-13382.03	-14041.69	659.6668	3.569418	0.5690056
222	-13275.2	-13933.56	658.3665	4.778331	0.7581849
228	-13001.35	-13659.47	658.1241	4.778331	1.03507
234	-13386.71	-14045.82	659.1062	4.067095	0.3338123
240	-13270.47	-13929.63	659.16	4.067095	0.4113998
246	-12816.59	-13476.12	659.5243	3.701109	0.4076929
252	-12821.5	-13477.21	655.7117	4.403371	2.952867
258	-14034.32	-14694.61	660.2942	2.352677	1.26194
264	-13165.82	-13824.2	658.3801	2.979074	2.17882
270	-13324.76	-13984.37	659.6132	3.216167	1.103702
276	-12882.23	-13538.18	655.948	6.177885	1.659278
282	-12775.68	-13432.69	657.0077	5.039213	1.71542
288	-13356.01	-14015.86	659.8555	3.389218	0.5094012
294	-13022.33	-13681.19	658.8593	3.509322	1.481134
300	-13140.47	-13799.24	658.7658	3.602841	1.481134
306	-12789.88	-13448.28	658.3945	4.457573	1.082798
312	-13120.28	-13779.33	659.0511	3.497871	1.341443
318	-13284.6	-13943.93	659.3377	3.897127	0.5743595
324	-12875.73	-13533.51	657.7827	4.768011	1.340006
330	-13149.68	-13808.31	658.6252	4.599984	0.6061269
336	-13017.5	-13677.03	659.5234	2.862332	1.468184
342	-12947.93	-13605.74	657.8109	3.533046	2.188703
348	-15120.11	-15780.73	660.6274	2.467441	0.8260326
354	-12961.03	-13616.92	655.8893	7.338243	0.599171
360	-13191.86	-13849.83	657.9722	4.706399	0.1374368
366	-13652.55	-14312.67	660.1169	2.796044	1.024876
372	-13112.81	-13772.01	659.1941	3.098489	1.537955
378	-13200.72	-13860.23	659.5062	2.786431	1.537955
384	-13187.13	-13846.31	659.1785	3.639158	1.114314
390	-12824.81	-13482.64	657.836	4.04797	1.828901
396	-13077.81	-13737.7	659.8905	3.35432	0.5083149
402	-13324.3	-13984.19	659.8908	2.464526	1.49112
408	-12884.22	-13540.01	655.7855	4.188461	3.037585
414	-13327.32	-13986.79	659.4654	3.181649	1.261732
420	-13038.66	-13696.8	658.1375	4.669901	1.123612
426	-13285.8	-13942.86	657.0616	5.748389	0.165924
432	-13148.51	-13807.62	659.1026	3.836462	0.9990052
438	-13139.12	-13795	655.8779	6.907768	1.143036
444	-12930.15	-13587.68	657.5267	4.728648	1.565482
450	-12966.25	-13624.64	658.3956	4.832045	0.598845
